,1st Target,2nd Target,Primary Algorithm,Moves,Alternative Algorithm,Moves
85,FLU,DBL,z [(R' U2 R') D' (R U2 R') D R2] z',9,,
86,FLU,BDL,z x [(R' U R') D2 (R U' R') D2 R2] x' z',9,,
87,FLU,LDB,y' [L' (U' R' U) L (U' R U)] y,8,,
88,FLU,DBR,x' y' [U2 (R' D' R) U2 (R' D R)] y x,8,,
89,FLU,RDB,[L (U' R2 U) L' (U' R2 U)],8,,
90,FLU,BDR,[(U R' U') L' (U R U') L],8,,
91,LUF,UFR,,,,
92,LUF,RFU,,,,
93,LUF,FRU,,,,
94,LUF,UBR,y [R2 D (R U2 R') D' (R U2 R)] y',9,,
95,LUF,BRU,R' F [U2 (R' D' R) U2 (R' D R)] F' R,12,,
96,LUF,RUB,y' x [(R' U2 R') D2 (R U2 R') D2 R2] x' y,9,,
97,LUF,DFR,F [U2 (R' D R) U2 (R' D' R)] F',10,,
98,LUF,FDR,y x' [(R2 D' R') U2 (R D R') U2 R'] x y',9,,
99,LUF,RDF,x' y' [(R2 U R2 U' R2) D2 (R2 U R2 U' R2) D2] y x,12,,
100,LUF,DFL,y' x R' [(L' D2 L) U (L' D2 L) U'] R x' y,10,,
101,LUF,LDF,y' x [(R' U2 R') D' (R U2 R') D R2] x' y,9,,
102,LUF,FDL,y' x [R' U2 (R' F' R2 F R) U2 (R' F' R2 F R2)] x' y,13,,
103,LUF,DBL,z [R' U2 (R' F' R2 F R) U2 (R' F' R2 F R2)] z',13,,
104,LUF,BDL,z y [R2 D (R' D2 R) D' (R' D2 R')] y' z',9,,
105,LUF,LDB,y' [(R U2 R) D2 (R' U2 R) D2 R2] y,9,,
106,LUF,DBR,y D' [(R' U2 R') D (R U2 R') D' R2] D y',11,,
107,LUF,RDB,y' x [(R' U2 R') D (R U2 R') D' R2] x' y,9,,
108,LUF,BDR,y' [(R U2 R) D' (R' U2 R) D R2] y,9,,
109,UBR,UFR,,,,
110,UBR,RFU,,,,
111,UBR,FRU,,,,
112,UBR,UFL,,,,
113,UBR,FLU,,,,
114,UBR,LUF,,,,
115,UBR,DFR,y x' [(R U R') D2 (R U' R') D2] x y',8,,
116,UBR,FDR,[(L' D2 L) U' (L' D2 L) U],8,,
117,UBR,RDF,y' [(L D2 L') U' (L D2 L') U] y,8,,
118,UBR,DFL,y' x [D2 (L' U' L) D2 (L' U L)] x' y,8,,
119,UBR,LDF,y [U (R' D2 R) U' (R' D2 R)] y',8,,
120,UBR,FDL,[U (R D2 R') U' (R D2 R')],8,,
121,UBR,DBL,z' [(R2 U2 R') D2 (R U2 R') D2 R'] z,9,,
122,UBR,BDL,x' [L (U' R' U) L' (U' R U)] x,8,,
123,UBR,LDB,[(L' D' L) U' (L' D L) U],8,,
124,UBR,DBR,z' [(R' U2 R') D2 (R U2 R') D2 R2] z,8,,
125,UBR,RDB,[(L' D L) U' (L' D' L) U],8,,
126,UBR,BDR,y [U (R' D' R) U' (R' D R)] y',8,,
127,BRU,UFR,,,,
128,BRU,RFU,,,,
129,BRU,FRU,,,,
130,BRU,UFL,,,,
131,BRU,FLU,,,,
132,BRU,LUF,,,,
133,BRU,DFR,R2 [U' (L' D2 L) U (L' D2 L)] R2,10,,
134,BRU,FDR,D' [(R' U2 R') D (R U2 R') D' R2] D,11,,
135,BRU,RDF,x [(L2 U L) D2 (L' U' L) D2 L] x',9,,
136,BRU,DFL,y x' [U2 (R' F' R2 F R) U2 (R' F' R2 F R)] x y',12,,
137,BRU,LDF,[(R' U2 R') D (R U2 R') D' R2],9,,
138,BRU,FDL,x' [R U2 (R D' R') U2 (R D R2)] x,9,,
139,BRU,DBL,U2 [(R2 D' R') U2 (R D R') U2 R'] U2,11,,
140,BRU,BDL,[(R' U2 R') D2 (R U2 R') D2 R2],9,,
141,BRU,LDB,x' [L2 D' (L U2 L') D (L U2 L)] x,9,,
142,BRU,DBR,R2 [U2 (L' D2 L) U2 (L' D2 L)] R2,10,,
143,BRU,RDB,R' F [R2 (U' L' U) R2 (U' L U)] F' R,12,,
144,BRU,BDR,x [R D2 (R U R') D2 (R U' R2)] x',9,,
145,RUB,UFR,,,,
146,RUB,RFU,,,,
147,RUB,FRU,,,,
148,RUB,UFL,,,,
149,RUB,FLU,,,,
150,RUB,LUF,,,,
151,RUB,DFR,x' y' [(R' D2 R) U (R' D2 R) U'] y x,8,,
152,RUB,FDR,x' [(L D2 L') U (L D2 L') U'] x,8,,
153,RUB,RDF,[R2 (U' L' U) R2 (U' L U)],8,,
154,RUB,DFL,[L2 (U R U') L2 (U R' U')],8,,
155,RUB,LDF,x' y' [(R' D R) U (R' D' R) U'] y x,8,,
156,RUB,FDL,x' y [U' (L D2 L') U (L D2 L')] y' x,8,,
157,RUB,DBL,x' y' [R U2 (R D R') U2 (R D' R2)] y x,9,,
158,RUB,BDL,[L (U R U') L' (U R' U')],8,,
159,RUB,LDB,z2 [R2 D2 (R U R') D2 (R U' R)] z2,9,,
160,RUB,DBR,z [R2 D2 (R U R') D2 (R U' R)] z',9,,
161,RUB,RDB,[(U' L' U) R' (U' L U) R],8,,
162,RUB,BDR,D' [R2 (U' L' U) R2 (U' L U)] D,10,,
163,DFR,UFR,,,,
164,DFR,RFU,,,,
165,DFR,FRU,,,,
166,DFR,UFL,,,,
167,DFR,FLU,,,,
168,DFR,LUF,,,,
169,DFR,UBR,,,,
170,DFR,BRU,,,,
171,DFR,RUB,,,,
172,DFR,DFL,x [(U' R' U) L2 (U' R U) L2] x',8,,
173,DFR,LDF,z' x' [(R U2 R') D' (R U2 R') D] x z,8,,
174,DFR,FDL,x2 [R2 D (R U2 R') D' (R U2 R)] x2,9,,
